id,lat,lon,location,date,time,borough,mode,year
362760,51.516308,-0.119763,On Kingsway Near The Junction With Great Queens Street,2019-09-13,17:40:00,Camden, PedalCycle,2019
696084,51.516317,-0.053087,Jubilee Street junction with Clark Street,2018-05-26,17:20:00,Tower Hamlets, PedalCycle,2018
666775,51.516335,-0.12423,High Holborn junction with Drury Lane,2017-06-30,12:19:00,Camden, PedalCycle,2017
340880,51.516342,-0.307994,Castlebar Road junction with Castlebar Road,2018-02-08,08:15:00,Ealing, PedalCycle,2018
693613,51.51635,-0.130859,Oxford Street junction with Tottnham Court Road,2018-07-17,13:06:00,Camden, PedalCycle,2018
666285,51.516355,-0.119905,Kingsway junction with Remnant Street,2017-01-17,00:01:00,Camden, PedalCycle,2017
321922,51.516356,-0.142534,Regent Street junction with Margaret Street,2018-12-18,06:45:00,Westminster, PedalCycle,2018
362307,51.516357,-0.126204,On Shaftesbury Avenue Near The Junction With High Holborn,2019-09-08,11:00:00,Camden, PedalCycle,2019
367679,51.516369,-0.066533,On Plumbers Row Near The Junction With Mulberry Street,2019-11-19,10:01:00,Tower Hamlets, PedalCycle,2019
357288,51.516371,-0.053056,On Jubilee Street Near The Junction With Clark Street,2019-06-26,22:00:00,Tower Hamlets, PedalCycle,2019
371132,51.516392,-0.093787,Love Lane - 25 metres From Junction With Wood Street,2019-09-17,17:47:00,City of London, PedalCycle,2019
320218,51.516397,-0.083582,Wormwood Street A1211 junction with Old Broad Street,2018-01-25,17:45:00,City of London, PedalCycle,2018
293257,51.516397,-0.083582,Wormwood Street A1211 junction with Old Broad Stret,2017-06-06,18:53:00,City of London, PedalCycle,2017
696472,51.5164,-0.072772,Commercial Street 30 metres south of junction with Wentworth Street London,2018-09-30,21:31:00,Tower Hamlets, PedalCycle,2018
352279,51.516409,0.046108,On Tollgate Road Near The Junction With Dove Approach,2019-04-13,16:55:00,Newham, PedalCycle,2019
667087,51.516436,-0.130567,Tottenham Court Road junction with Oxford Street,2017-11-01,08:45:00,Camden, PedalCycle,2017
665204,51.516446,-0.14253,Margaret Street junction with Regent Street,2017-05-24,16:00:00,Westminster, PedalCycle,2017
320268,51.516486,-0.089056,Moorgate 20 metres north of junction with Great Swan Alley,2018-04-18,10:45:00,City of London, PedalCycle,2018
304996,51.516497,-0.209404,Ladbroke Grove junction with Ladbroke Crescent,2017-03-10,19:20:00,Kensington & Chelsea, PedalCycle,2017
665189,51.516511,-0.164954,Edgware Road 75 metres north of junction with Kendal Street,2017-05-20,14:18:00,Westminster, PedalCycle,2017
361895,51.516515,-0.130463,On Tottenham Court Road Near The Junction With New Oxford Street,2019-08-30,18:40:00,Camden, PedalCycle,2019
346243,51.516516,-0.173875,On Praed Street 25 metres south of The Junction With Norfolk Plac,2019-01-10,14:00:00,Westminster, PedalCycle,2019
352118,51.516516,-0.187813,On Porchester Road 27 metres north of The Junction With Bishop's,2019-04-10,19:48:00,Westminster, PedalCycle,2019
370968,51.516518,-0.104851,Farringdon Street (A201) Near Junction With Turnagain Lane,2019-07-26,00:42:00,City of London, PedalCycle,2019
362207,51.51653,-0.14159,On Margaret Street 30 metres east of The Junction With Regent Str,2019-09-03,23:03:00,Westminster, PedalCycle,2019
664860,51.516536,-0.142526,Regent Street junction with Margaret Street,2017-02-22,20:22:00,Westminster, PedalCycle,2017
706216,51.516542,0.009821,Barking Road 21 metres east of junction with Oak Crecent,2018-07-11,17:20:00,Newham, PedalCycle,2018
